rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId,timestamp
15,279. 영등포 푸르지오 아파트 B,10,67,37.51322937,126.90446472,ST-1353,2024-05-09 23:45:26
10,280. 양평동6차현대아파트 앞,24,240,37.53210068,126.89443970,ST-1539,2024-05-09 23:45:26
8,281. 대림신동아아파트 앞,1,13,37.49824142,126.89398193,ST-1540,2024-05-09 23:45:26
10,282. 신한은행 대림동지점,10,100,37.48752975,126.90487671,ST-1541,2024-05-09 23:45:26
15,283. 아크로타워 스퀘어(영등포시장),52,347,37.52251816,126.90721893,ST-1649,2024-05-09 23:45:26
16,284. 센트럴 푸르지오 시티 앞,1,6,37.51821136,126.90222931,ST-1650,2024-05-09 23:45:26
14,285. 콤텍시스템 앞,10,71,37.49985886,126.89723969,ST-1651,2024-05-09 23:45:26
12,286. 우성아파트 교차로,14,117,37.49457169,126.89974976,ST-1652,2024-05-09 23:45:26
10,287. 영등포전화국사거리 (서강어린이공원),18,180,37.52576828,126.90573883,ST-1653,2024-05-09 23:45:26
10,288. 쌍용예가(구청별관),5,50,37.52809906,126.89338684,ST-1677,2024-05-09 23:45:26
10,289. 대림3동사거리,26,260,37.49980927,126.89800262,ST-1697,2024-05-09 23:45:26
12,290. 새말소공원,29,242,37.53150940,126.89782715,ST-1698,2024-05-09 23:45:26
14,291. 문래동 하이테크 시티,0,0,37.51412964,126.89939117,ST-1699,2024-05-09 23:45:26
10,292. 영일 어린이공원,21,210,37.51012039,126.90406799,ST-1700,2024-05-09 23:45:26
15,293. 충북 미래관,49,327,37.52917099,126.90757751,ST-1701,2024-05-09 23:45:26
10,295.영등포공원 분수대 앞,4,40,37.51481247,126.91170502,ST-1967,2024-05-09 23:45:26
20,296.KT플라자 영등포점,19,95,37.52630234,126.90538025,ST-1968,2024-05-09 23:45:26
10,297.국회3문,1,10,37.52863693,126.91267395,ST-1969,2024-05-09 23:45:26
25,298.KBS 연구동 건너편,3,12,37.52750778,126.91429901,ST-1970,2024-05-09 23:45:26
10,299.여의도 순복음교회,1,10,37.53179169,126.92245483,ST-1971,2024-05-09 23:45:26
6,300. 정동사거리,0,0,37.56805038,126.96923065,ST-116,2024-05-09 23:45:26
20,301. 경복궁역 7번출구 앞,12,60,37.57579422,126.97145081,ST-117,2024-05-09 23:45:26
12,302. 경복궁역 4번출구 뒤,11,92,37.57594681,126.97406006,ST-118,2024-05-09 23:45:26
8,303. 광화문역 1번출구 앞,0,0,37.57176971,126.97466278,ST-119,2024-05-09 23:45:26
16,305. 종로구청 옆,0,0,37.57255936,126.97833252,ST-121,2024-05-09 23:45:26
11,307. 서울역사박물관 앞,0,0,37.56999969,126.97109985,ST-123,2024-05-09 23:45:26
31,308. 광화문 S타워 앞,0,0,37.56996918,126.97393799,ST-124,2024-05-09 23:45:26
13,309. 광화문역 6번출구 옆 B,0,0,37.56996155,126.97615814,ST-125,2024-05-09 23:45:26
8,310. 청계광장 옆,0,0,37.56887817,126.97747040,ST-126,2024-05-09 23:45:26
10,314. 국립현대미술관,0,0,37.57970810,126.98085785,ST-130,2024-05-09 23:45:26
8,316. 종각역 1번출구 앞,0,0,37.57039642,126.98178864,ST-132,2024-05-09 23:45:26
10,318. 광교사거리 남측,0,0,37.56863403,126.98231506,ST-134,2024-05-09 23:45:26
17,320. 을지로입구역 4번출구 앞,0,0,37.56622314,126.98358917,ST-136,2024-05-09 23:45:26
15,321. KEB 하나금융그룹 명동사옥 옆,0,0,37.56546402,126.98413849,ST-137,2024-05-09 23:45:26
10,322. 명동성당 앞,0,0,37.56447601,126.98696899,ST-138,2024-05-09 23:45:26
8,324. 신세계백화점 본점 앞,0,0,37.56134415,126.98050690,ST-140,2024-05-09 23:45:26
15,326. 안국역 5번출구 앞,0,0,37.57624054,126.98616028,ST-142,2024-05-09 23:45:26
10,327. 낙원상가 옆,0,0,37.57335663,126.98746490,ST-143,2024-05-09 23:45:26
11,328. 탑골공원 앞,0,0,37.57039642,126.98818970,ST-144,2024-05-09 23:45:26
8,329. 청계2가 사거리 옆,1,13,37.56848526,126.98788452,ST-145,2024-05-09 23:45:26
10,331. 을지로2가 사거리 북측,0,0,37.56638336,126.98720551,ST-147,2024-05-09 23:45:26
5,332. 을지로2가 사거리 남측,0,0,37.56599045,126.98779297,ST-148,2024-05-09 23:45:26
10,334. 종로3가역 2번출구 뒤,0,0,37.57059860,126.99179077,ST-150,2024-05-09 23:45:26
10,335. 종로3가역 15번출구 앞,0,0,37.57019424,126.99165344,ST-151,2024-05-09 23:45:26
8,336. 충무로역 6번출구 앞,0,0,37.56144714,126.99311066,ST-152,2024-05-09 23:45:26
5,337. 창경궁 입구,2,40,37.57897949,126.99647522,ST-153,2024-05-09 23:45:26
18,338. 세운스퀘어 앞,0,0,37.57095718,126.99712372,ST-154,2024-05-09 23:45:26
10,339. 종로4가 사거리,0,0,37.57106781,126.99819183,ST-155,2024-05-09 23:45:26
8,340. 혜화동 로터리,2,25,37.58562851,127.00067902,ST-156,2024-05-09 23:45:26
8,341. 혜화역 3번출구 뒤,1,13,37.58156967,127.00178528,ST-157,2024-05-09 23:45:26
22,342. 대학로 마로니에공원,0,0,37.57978439,127.00253296,ST-158,2024-05-09 23:45:26
6,343. 힐스테이트창경궁 아파트 앞,6,100,37.57561111,127.00469971,ST-159,2024-05-09 23:45:26
10,344. 성균관대 E하우스 앞,17,170,37.57419968,127.00659180,ST-160,2024-05-09 23:45:26
18,345. 서울보증보험본사 앞,1,6,37.57330704,127.00070953,ST-161,2024-05-09 23:45:26
10,346. 맥스타일 앞,1,10,37.56918335,127.00988007,ST-162,2024-05-09 23:45:26
18,347. 동대문역사문화공원역 9번출구 앞,3,17,37.56533051,127.00784302,ST-163,2024-05-09 23:45:26
14,348. 독립문역 사거리,7,50,37.57202911,126.96078491,ST-183,2024-05-09 23:45:26
5,349. 어린이도서관,0,0,37.57633209,126.96858978,ST-165,2024-05-09 23:45:26
5,351. 청운초교 앞 삼거리,5,100,37.58496857,126.97041321,ST-167,2024-05-09 23:45:26
10,352. 중앙고입구 삼거리,0,0,37.58341599,126.98523712,ST-168,2024-05-09 23:45:26
8,353. 재동초교 앞 삼거리,0,0,37.57938766,126.98494720,ST-169,2024-05-09 23:45:26
10,354. 포르투갈 대사관 앞,8,80,37.57915497,126.98896027,ST-170,2024-05-09 23:45:26
15,355. 서울사대부설초등학교 앞,1,7,37.57650757,127.00245667,ST-171,2024-05-09 23:45:26
15,356. KT혜화지사 앞,1,7,37.57714462,127.00205994,ST-172,2024-05-09 23:45:26
13,358. 성균관대입구 사거리 A,0,0,37.58250046,126.99853516,ST-173,2024-05-09 23:45:26
8,359. 원남동사거리,3,38,37.57606125,126.99768066,ST-174,2024-05-09 23:45:26
10,361. 동묘앞역 1번출구 뒤,10,100,37.57324219,127.01590729,ST-175,2024-05-09 23:45:26
10,362. 청계8가사거리 A,26,260,37.57219696,127.02304077,ST-176,2024-05-09 23:45:26
13,363. 신설동역 11번출구 뒤,11,85,37.57559204,127.02285004,ST-177,2024-05-09 23:45:26
8,364. 창신역 1번출구 앞,12,150,37.57933426,127.01508331,ST-178,2024-05-09 23:45:26
13,367. 독립문역 3-1번출구 ,33,254,37.57415771,126.95851898,ST-180,2024-05-09 23:45:26
15,368. SK 서린빌딩 앞,0,0,37.56924820,126.98053741,ST-181,2024-05-09 23:45:26
23,370. 시청역(2호선) 9번출구 뒤,1,4,37.56322861,126.97483826,ST-185,2024-05-09 23:45:26
10,371. 동대입구역 6번출구 뒤,0,0,37.55887222,127.00553894,ST-186,2024-05-09 23:45:26
10,372. 약수역 3번출구 뒤,3,30,37.55429459,127.01119995,ST-187,2024-05-09 23:45:26
12,374. 청구역 2번출구 앞,11,92,37.56047440,127.01407623,ST-189,2024-05-09 23:45:26
7,379. 서울역9번출구,2,29,37.55599976,126.97335815,ST-194,2024-05-09 23:45:26
8,380. CJ제일제당 앞,1,13,37.56386566,127.00274658,ST-195,2024-05-09 23:45:26
15,381. 장충체육관,0,0,37.55853271,127.00698853,ST-196,2024-05-09 23:45:26
7,382. 약수역 10번출구 앞,3,43,37.55519867,127.01004791,ST-197,2024-05-09 23:45:26
27,383. 신당역 12번 출구 뒤,11,41,37.56584930,127.01640320,ST-198,2024-05-09 23:45:26
10,384. 종로학원본원 ,5,50,37.55978012,126.96850586,ST-199,2024-05-09 23:45:26
10,385. 종각역 5번출구,1,10,37.56983566,126.98265839,ST-336,2024-05-09 23:45:26
10,387. 훈련원공원주차장 앞,0,0,37.56699371,127.00346375,ST-338,2024-05-09 23:45:26
10,388. 동성중학교 앞,0,0,37.58573532,127.00160980,ST-444,2024-05-09 23:45:26
10,389. 을지로4가역 1번출구,0,0,37.56673050,126.99660492,ST-943,2024-05-09 23:45:26
12,390. 충무로역 1번출구,0,0,37.56138992,126.99535370,ST-944,2024-05-09 23:45:26
12,393. 동대문역 8번 출구,1,8,37.57014084,127.00937653,ST-1372,2024-05-09 23:45:26
15,394. 경희궁 자이 3단지,0,0,37.56748962,126.96591949,ST-1373,2024-05-09 23:45:26
8,395. 경희궁 자이 2단지,3,38,37.56885529,126.96456146,ST-1374,2024-05-09 23:45:26
